Fecha,Manufactura de productos alimenticios,Administración pública,Salud y asistencia social
2000-03-01,262298.8852673587,52582.734368388185,48905.8819342813
2000-06-01,314559.0160669472,219741.122147156,50424.7603838468
2000-09-01,328549.92384142935,313678.354632923,59192.9498609272
2000-12-01,337686.43958920374,384530.78885153594,72897.4078209349
2001-03-01,359451.2434274752,351886.42183394555,83652.7070377109
2001-06-01,343004.37197623955,310397.9920937321,98143.8509879623
2001-09-01,354113.8284236776,259392.34599937158,111806.503110266
2001-12-01,375918.26158903824,273408.240072749,122422.938863984
2002-03-01,387943.46266307967,330921.4707573458,122288.970824608
2002-06-01,382532.95269060956,370160.3819136823,131552.487062408
2002-09-01,381170.5309287405,389088.7039959526,147393.749199122
2002-12-01,380458.8953479979,416775.44333299255,168406.792913873
2003-03-01,397157.3856816313,445019.601199744,194621.161979893
2003-06-01,419428.2123976693,468529.2196546546,203475.610511398
2003-09-01,420348.85608970595,476913.71377663803,205676.806858077
2003-12-01,431756.3020089752,494333.46536875895,193139.420650618
2004-03-01,410342.20204079,500331.5577061727,264004.255062296
2004-06-01,423972.9144020286,513688.8062717645,227836.036380486
2004-09-01,444593.10087416467,511598.9582311482,212100.699015531
2004-12-01,446771.7754594284,525887.6777908002,216150.009541678
2005-03-01,457687.1598016587,556848.0176622389,237432.516354937
2005-06-01,477174.09373433347,548217.9258739382,255214.816163694
2005-09-01,478429.2244416571,558631.3760449889,273044.950512952
2005-12-01,492032.66659731016,576128.6804187674,284353.716968473
2006-03-01,510130.1237344423,590192.8932110087,280110.736682094
2006-06-01,528572.9242668916,601911.5326640442,283405.723122447
2006-09-01,543702.4036921546,614673.4576534606,289951.666229276
2006-12-01,542093.5617568779,670310.1164716182,298958.873966233
2007-03-01,554694.2648981621,660207.9591774087,304284.033186827
2007-06-01,555051.5436698243,675998.1590197835,317220.395578952
2007-09-01,574205.7328589457,721441.0066489918,329348.25157414
2007-12-01,624391.8838646412,726535.8751537608,351908.319660078
2008-03-01,697128.8670332159,796628.6519465338,367946.341061089
2008-06-01,731340.5005871339,894364.825041997,394362.740888724
2008-09-01,777770.0806483336,958437.4306723941,407225.289403092
2008-12-01,781390.7687891899,920907.5312700691,407458.23276908
2009-03-01,751281.0960560933,955758.8633516658,428019.963994342
2009-06-01,742159.87177465,1064412.0308683116,426528.747272894
2009-09-01,734983.8873820099,1119719.5910389074,444393.050501687
2009-12-01,741669.6636844899,1197580.9178599946,448492.398902035
2010-03-01,787648.0529868013,1169604.7391717664,485161.545710052
2010-06-01,821167.1107763964,1137188.9041693236,484675.376719535
2010-09-01,853908.2934778363,1166797.8729171357,506754.30691937
2010-12-01,885858.2854870812,1227410.7123623719,538726.51372884
2011-03-01,993707.730847615,1196485.5347003487,536952.517354066
2011-06-01,1025962.0040345425,1341978.4465468575,555005.834287488
2011-09-01,1027899.8272724078,1330799.2801696341,565748.513859406
2011-12-01,1041728.175413871,1384887.9014895426,592407.51092425
2012-03-01,1054993.0882450985,1412486.3313612645,604691.053609309
2012-06-01,1087476.3926280597,1422471.8674704821,631911.471614488
2012-09-01,1101533.0195131851,1457087.590776353,659233.682524576
2012-12-01,1125116.2716467902,1539727.5147041585,743146.356696499
2013-03-01,1147745.1172955006,1569192.4958537316,715227.754079296
2013-06-01,1182056.181502009,1602214.5199561375,753524.844696902
2013-09-01,1256646.5578975861,1647337.841591684,773111.669100159
2013-12-01,1289773.5604661575,1673087.7214898758,786039.350672294
2014-03-01,1414551.111657447,1740621.9621564886,730744.16514714
2014-06-01,1431842.4599007224,1759658.2398450586,881342.23282678
2014-09-01,1444680.243488609,1862772.2528738428,834297.302776168
2014-12-01,1356301.501161086,1890153.0984154642,843911.686854558
2015-03-01,1353078.1698249555,1792503.7023781668,844763.124243879
2015-06-01,1327725.681787367,1814171.1643667854,851106.790042916
2015-09-01,1333672.1487305386,1830193.7106284346,883759.076883116
2015-12-01,1380146.1372690257,1877422.0362994443,878302.911687535
2016-03-01,1423135.1853580333,1858991.9993585383,926547.772033765
2016-06-01,1508821.2251914819,1901063.5696609947,912650.468084897
2016-09-01,1531128.0192574172,1931121.4788029564,901464.28067809
2016-12-01,1569550.4027505189,1959660.107555389,907138.249040143
2017-03-01,1582127.18364292,1978568.23584175,928908.761988919
2017-06-01,1570940.1345734529,1986121.229643496,956411.71764276
2017-09-01,1536530.5800037815,1977319.1800576032,987666.475899803
2017-12-01,1518661.9499142852,1998538.5942405397,997670.971469276
2018-03-01,1513741.7107664042,2006153.2726739123,1008908.47117121
2018-06-01,1497618.9178257831,2005849.8614758207,1021057.18560754
2018-09-01,1440893.1349248516,1999934.9144016658,1032739.39253141
2018-12-01,1426021.236483584,2008063.9514485616,1048450.95068965
2019-03-01,1444084.4555623108,2017813.0746553391,1055135.88053867
2019-06-01,1481046.08742395,1988215.7439733297,1061119.58398035
2019-09-01,1539470.2407991975,1986049.654726375,1059270.15024377
2019-12-01,1531761.2162137153,2011076.526645176,1062238.38523717
2020-03-01,1601607.485813317,2012076.8118946478,1058294.41518548
2020-06-01,1437357.5578965738,1999477.5482703596,1046062.7212043
2020-09-01,1431946.5889104826,1978512.2847783994,1052638.79597818
2020-12-01,1564335.367378863,1965174.3550549299,1056827.06763209
2021-03-01,1464870.0229747163,1935139.4295455813,1061529.68738215
2021-06-01,1618859.6086476217,1939732.1650710404,1078593.77941849
2021-09-01,1727831.6395027316,1948417.1912675798,1093205.19365749
2021-12-01,1887892.7288743327,1964369.2141156793,1105324.33954177
2022-03-01,1932325.7074011723,1965262.1058399677,1114314.29396219
2022-06-01,1997240.0269309615,2008398.975162387,1120291.99335992
2022-09-01,2065557.7328118095,2041547.303857565,1129490.72479349
2022-12-01,1926802.5328556697,2154592.615139246,1152793.98788421
2023-03-01,2040632.7521030912,2182586.098807335,1157312.00114678
2023-06-01,1984351.9573070458,2184091.52227664,1183599.76094609
2023-09-01,1927606.6757203192,2196584.149964094,1191200.50449444
2023-12-01,1935184.7787425364,2201073.858253956,1197065.82771963
