Fecha,Transporte y almacenamiento,Administración pública,Salud y asistencia social
2000-03-01,288610.308074074,52582.734368388185,48905.8819342813
2000-06-01,360489.826709427,219741.122147156,50424.7603838468
2000-09-01,377406.931981577,313678.354632923,59192.9498609272
2000-12-01,359936.739555468,384530.78885153594,72897.4078209349
2001-03-01,558420.667280307,351886.42183394555,83652.7070377109
2001-06-01,554149.013365695,310397.9920937321,98143.8509879623
2001-09-01,564792.058394603,259392.34599937158,111806.503110266
2001-12-01,585301.7783622,273408.240072749,122422.938863984
2002-03-01,571197.933806188,330921.4707573458,122288.970824608
2002-06-01,584030.155049272,370160.3819136823,131552.487062408
2002-09-01,604029.871218337,389088.7039959526,147393.749199122
2002-12-01,609170.137335796,416775.44333299255,168406.792913873
2003-03-01,672861.003137537,445019.601199744,194621.161979893
2003-06-01,657000.721979557,468529.2196546546,203475.610511398
2003-09-01,665075.393431245,476913.71377663803,205676.806858077
2003-12-01,653179.349895537,494333.46536875895,193139.420650618
2004-03-01,717591.63801446,500331.5577061727,264004.255062296
2004-06-01,700207.471754484,513688.8062717645,227836.036380486
2004-09-01,711283.013846475,511598.9582311482,212100.699015531
2004-12-01,729310.086158409,525887.6777908002,216150.009541678
2005-03-01,750432.654408116,556848.0176622389,237432.516354937
2005-06-01,771743.586022222,548217.9258739382,255214.816163694
2005-09-01,782048.868147842,558631.3760449889,273044.950512952
2005-12-01,801260.992571148,576128.6804187674,284353.716968473
2006-03-01,810928.042462668,590192.8932110087,280110.736682094
2006-06-01,823454.15263112,601911.5326640442,283405.723122447
2006-09-01,832906.162150006,614673.4576534606,289951.666229276
2006-12-01,834850.330187337,670310.1164716182,298958.873966233
2007-03-01,810610.767378539,660207.9591774087,304284.033186827
2007-06-01,809815.929537993,675998.1590197835,317220.395578952
2007-09-01,835017.787823168,721441.0066489918,329348.25157414
2007-12-01,830781.01366336,726535.8751537608,351908.319660078
2008-03-01,856744.651288808,796628.6519465338,367946.341061089
2008-06-01,883131.152209382,894364.825041997,394362.740888724
2008-09-01,908769.049869266,958437.4306723941,407225.289403092
2008-12-01,916592.377124558,920907.5312700691,407458.23276908
2009-03-01,906511.647973153,955758.8633516658,428019.963994342
2009-06-01,906465.88921712,1064412.0308683116,426528.747272894
2009-09-01,900504.971897728,1119719.5910389074,444393.050501687
2009-12-01,910157.124595148,1197580.9178599946,448492.398902035
2010-03-01,924386.063765498,1169604.7391717664,485161.545710052
2010-06-01,928173.061134322,1137188.9041693236,484675.376719535
2010-09-01,939434.351146182,1166797.8729171357,506754.30691937
2010-12-01,959149.589987041,1227410.7123623719,538726.51372884
2011-03-01,925319.413851377,1196485.5347003487,536952.517354066
2011-06-01,931495.609300279,1341978.4465468575,555005.834287488
2011-09-01,936801.783519562,1330799.2801696341,565748.513859406
2011-12-01,939246.744171593,1384887.9014895426,592407.51092425
2012-03-01,951249.036762729,1412486.3313612645,604691.053609309
2012-06-01,966504.990797582,1422471.8674704821,631911.471614488
2012-09-01,974531.050089754,1457087.590776353,659233.682524576
2012-12-01,991766.056619713,1539727.5147041585,743146.356696499
2013-03-01,1037828.69012881,1569192.4958537316,715227.754079296
2013-06-01,1061078.51042037,1602214.5199561375,753524.844696902
2013-09-01,1087638.50053663,1647337.841591684,773111.669100159
2013-12-01,1129784.62935515,1673087.7214898758,786039.350672294
2014-03-01,1080294.51943381,1740621.9621564886,730744.16514714
2014-06-01,1063938.74483999,1759658.2398450586,881342.23282678
2014-09-01,1089464.2865663,1862772.2528738428,834297.302776168
2014-12-01,1104361.15975529,1890153.0984154642,843911.686854558
2015-03-01,1153419.11266862,1792503.7023781668,844763.124243879
2015-06-01,1165725.1210426,1814171.1643667854,851106.790042916
2015-09-01,1172091.94247946,1830193.7106284346,883759.076883116
2015-12-01,1228802.64563948,1877422.0362994443,878302.911687535
2016-03-01,1244349.79021267,1858991.9993585383,926547.772033765
2016-06-01,1303508.15444487,1901063.5696609947,912650.468084897
2016-09-01,1341788.00984127,1931121.4788029564,901464.28067809
2016-12-01,1407095.98298549,1959660.107555389,907138.249040143
2017-03-01,1322052.11524728,1978568.23584175,928908.761988919
2017-06-01,1323673.48635761,1986121.229643496,956411.71764276
2017-09-01,1307755.86952661,1977319.1800576032,987666.475899803
2017-12-01,1295722.75507805,1998538.5942405397,997670.971469276
2018-03-01,1373546.26196091,2006153.2726739123,1008908.47117121
2018-06-01,1327507.93093251,2005849.8614758207,1021057.18560754
2018-09-01,1310114.84565926,1999934.9144016658,1032739.39253141
2018-12-01,1344358.96144767,2008063.9514485616,1048450.95068965
2019-03-01,1363401.1148861,2017813.0746553391,1055135.88053867
2019-06-01,1409605.59091762,1988215.7439733297,1061119.58398035
2019-09-01,1402656.19526617,1986049.654726375,1059270.15024377
2019-12-01,1410014.09893074,2011076.526645176,1062238.38523717
2020-03-01,1420403.64691263,2012076.8118946478,1058294.41518548
2020-06-01,1019346.71852927,1999477.5482703596,1046062.7212043
2020-09-01,1122693.94679825,1978512.2847783994,1052638.79597818
2020-12-01,1298481.68775948,1965174.3550549299,1056827.06763209
2021-03-01,1161907.55345314,1935139.4295455813,1061529.68738215
2021-06-01,1246568.2639415,1939732.1650710404,1078593.77941849
2021-09-01,1290182.38776772,1948417.1912675798,1093205.19365749
2021-12-01,1414380.7948375,1964369.2141156793,1105324.33954177
2022-03-01,1291432.42149593,1965262.1058399677,1114314.29396219
2022-06-01,1308530.85006179,2008398.975162387,1120291.99335992
2022-09-01,1375084.33673097,2041547.303857565,1129490.72479349
2022-12-01,1390243.39171286,2154592.615139246,1152793.98788421
2023-03-01,1432380.40132907,2182586.098807335,1157312.00114678
2023-06-01,1428871.0250901,2184091.52227664,1183599.76094609
2023-09-01,1390984.93740049,2196584.149964094,1191200.50449444
2023-12-01,1418252.24700075,2201073.858253956,1197065.82771963
